Platform,Owner,Primary_Usage,Country,Daily_Time_Spent,Verified Account,Date Joined
WhatsApp,Meta,Messaging,Switzerland,113.94,Yes,3/3/2019
WeChat,Tencent,Messaging and social media,Madagascar,49.63,Yes,9/21/2023
Snapchat,Snap Inc.,Multimedia messaging,Pitcairn Islands,29.01,Yes,12/13/2020
Instagram,Meta,Photo and video sharing,Timor-Leste,295.43,Yes,4/21/2019
Threads,Meta,Text-based social networking,Bermuda,71.78,No,7/14/2015
X (formerly Twitter),X Corp.,Microblogging,Falkland Islands (Malvinas),92.82,No,4/12/2021
Instagram,Meta,Photo and video sharing,Mauritius,227.85,No,6/25/2016
TikTok,ByteDance,Short-form videos,Uganda,44.91,Yes,4/26/2023
Quora,Quora Inc.,Q&A knowledge sharing,Norway,140.46,Yes,4/9/2016
X (formerly Twitter),X Corp.,Microblogging,Anguilla,235.13,No,5/17/2019
WeChat,Tencent,Messaging and social media,Montenegro,211.07,Yes,5/2/2018
Facebook,Meta,Social networking,Micronesia,178.81,Yes,9/27/2019
YouTube,Google,Video sharing,China,131.75,Yes,4/23/2025
YouTube,Google,Video sharing,Iceland,59.29,Yes,2/14/2022
Facebook,Meta,Social networking,Andorra,205,No,4/8/2025
Telegram,Telegram FZ LLC,Messaging,Kuwait,299.66,Yes,11/27/2017
TikTok,ByteDance,Short-form videos,Saint Pierre and Miquelon,91.33,Yes,12/20/2024
WhatsApp,Meta,Messaging,Saint Helena,62.54,No,4/23/2016
X (formerly Twitter),X Corp.,Microblogging,Saint Helena,27.49,No,12/5/2020
